gene,beta,HR (95% CI for HR),wald.test,p.value
1007_s_at,0.06728107447034516,1.0695960720774276 (0.6813600550179844 - 1.6790472951533166),0.2924266702479737,0.7699604190461226
1053_at,0.26054482770885035,1.2976368826369602 (0.8068693682602599 - 2.0869071815310627),1.0747575011436143,0.2824833122662941
117_at,-0.11496974306147754,0.8913931143254676 (0.6373195754468174 - 1.2467554973653274),-0.6716153192944305,0.5018286231546738
121_at,0.003033972959216634,1.003038580113324 (0.4567152323084923 - 2.202874618633659),0.007558481223824334,0.993969261951766
1255_g_at,0.15400905620083677,1.1665014508020193 (0.9342261260102079 - 1.4565270621733262),1.3594140238762673,0.1740154296897513
1294_at,-0.3522127526138895,0.7031305132074865 (0.44392731593151336 - 1.1136789759513142),-1.5010911278920769,0.13333199324302122
1316_at,0.07829176928200272,1.0814381430740512 (0.7022396689711432 - 1.6653978819067679),0.3553934569507134,0.7222948499555546
1320_at,0.008327478924722298,1.008362248825534 (0.8184051393228643 - 1.2424096281919343),0.07819637400561023,0.9376718463119186
1405_i_at,-0.0011238017927863537,0.9988768294359676 (0.8667029376366356 - 1.151207498043994),-0.015518427915759537,0.9876185829122003
1431_at,-0.15183071302740164,0.8591337085758393 (0.6738045060828358 - 1.0954375082800851),-1.2246981646331139,0.22068896591941037
1438_at,0.07204212274592822,1.0747006124512397 (0.8619962755105077 - 1.339891411617811),0.6402277832267218,0.5220245227178706
1487_at,-0.35051933068670005,0.7043222185814481 (0.3593721053603697 - 1.3803792230619742),-1.0209959029478413,0.30725637981889226
1494_f_at,-0.07852117993084753,0.9244824792492149 (0.7169951510478001 - 1.1920134371756677),-0.6055069414962556,0.5448422138477668
1598_g_at,0.13781075205308735,1.1477583188141356 (0.7657903699626185 - 1.7202477467447863),0.6674881000550661,0.5044604083103861
160020_at,0.01341743164793529,1.0135078493223764 (0.6433949220219797 - 1.5965282371360983),0.05787164012090677,0.9538508731548621
1729_at,0.3943688961123987,1.4834476858344139 (0.882979957651377 - 2.4922615938654604),1.4898160072692523,0.13627262103608104
1773_at,0.15457727441694846,1.1671644665264527 (0.704028913278752 - 1.9349672523784582),0.5993234870726106,0.5489571884853792
177_at,-0.14086741514139442,0.8686044678640731 (0.5665816517234722 - 1.3316239932910157),-0.6461891040462835,0.5181568951063263
179_at,0.0442736768273463,1.0452683814816026 (0.5807405609320699 - 1.8813667631060658),0.1476453035566749,0.8826226998200861
1861_at,-0.36625193623263214,0.6933281047338091 (0.38048435555531873 - 1.2633998055246876),-1.196284804450484,0.2315854365777135
200000_s_at,0.24241315108562667,1.2743205709991932 (0.7747512960501975 - 2.0960183299473885),0.954774672692635,0.33969165813095165
200001_at,0.07392153032929637,1.0767223121359075 (0.604641253315718 - 1.917386435500029),0.2510799273712267,0.8017523145577317
200002_at,-0.25676235137683123,0.7735520254970903 (0.4022184483298726 - 1.4877058440141406),-0.7694905524759559,0.4416021508796073
200003_s_at,-0.428067204928543,0.6517676113310978 (0.340114493731448 - 1.248994168168749),-1.2899582804626857,0.19706514370012312
200004_at,0.3165623912169522,1.3724018653876517 (0.5203446777725053 - 3.6196908714092135),0.639754692540726,0.522332092299949
200005_at,-0.7201704287058011,0.4866693064716304 (0.282036072482525 - 0.839775606633626),-2.587312688075492,0.009672777026977416
200006_at,-0.479541608586079,0.6190671018201711 (0.31872600626667924 - 1.2024248697025504),-1.415740286013511,0.15685155860523597
200007_at,-0.713306535222462,0.49002124326142393 (0.23596948865569387 - 1.0175926566414482),-1.9131882682268204,0.0557239548638428
200008_s_at,0.16406863214233922,1.1782951812402784 (0.7595421344159091 - 1.8279164133556987),0.7323221768388458,0.4639719465216908
200009_at,0.04690526645275364,1.0480227214667968 (0.5265840490792212 - 2.0858049662370823),0.13357455546946387,0.893739005644539
200010_at,-0.30022090522508266,0.74065458814024 (0.404365430006351 - 1.3566175004736993),-0.9722525005700523,0.3309249479088889
200011_s_at,0.01697759011475624,1.017122528470696 (0.598480515552093 - 1.7286080516226485),0.06274377603283315,0.9499705378114685
