gene,beta,HR (95% CI for HR),wald.test,p.value,Gene Symbol
200760_s_at,-1.0982664082303544,0.3334486467537637 (0.2073140474379388 - 0.5363264158701129),-4.529287915205064,5.918280677256863e-06,ARL6IP5
213082_s_at,-0.851301124231137,0.4268591736577127 (0.2918755591662348 - 0.624268625493134),-4.389378425908917,1.1367510671486954e-05,SLC35D2
219968_at,-0.8287852039260419,0.4365793191583337 (0.299043331370755 - 0.6373708487097002),-4.292992017643163,1.762813463470699e-05,ZNF589
218727_at,1.1813459566883369,3.258757398748576 (1.8925275609433092 - 5.6112788014592585),4.260685054189623,2.0380125557829475e-05,SLC38A7
203485_at,-0.43363001467316886,0.6481520178645003 (0.5305439637968242 - 0.7918307754467344),-4.2447750751264826,2.1881279556960842e-05,RTN1
220106_at,0.3465357017381832,1.4141599808985064 (1.1991855575735415 - 1.6676722288262054),4.119017641734265,3.804910191083289e-05,NPC1L1
209368_at,-0.3164231206824867,0.7287510352884539 (0.6266487277702132 - 0.847489267749276),-4.1086073742242855,3.9805212959302274e-05,EPHX2
50400_at,-1.1716558258740346,0.30985345289467964 (0.17453490498922491 - 0.5500857394495541),-4.000878800892463,6.310767639227818e-05,PAOX
204880_at,-0.6361963113595361,0.5293018995333667 (0.3839961435494207 - 0.7295919648046497),-3.8853819202776663,0.00010216914301881506,MGMT
206752_s_at,-0.5984497097279319,0.5496631132825253 (0.4019528483446324 - 0.7516541787120111),-3.7477616182405322,0.00017841969999607464,DFFB
208968_s_at,1.0198202692392258,2.7726963803483704 (1.6177176670447313 - 4.752278703638823),3.709718457217434,0.00020748985565657697,CIAPIN1
218883_s_at,0.5821679979817573,1.7899147588807647 (1.312566935830696 - 2.440862066993614),3.67856155994098,0.00023455308136701797,CENPU
203162_s_at,0.8313688126884212,2.2964600134712922 (1.470553732468272 - 3.586219583163957),3.6556966853137145,0.00025648447114580316,KATNB1
206797_at,0.288358442815804,1.334235465538716 (1.1407283367849863 - 1.5605681213447913),3.606910327736969,0.00030986468545864316,NAT2
212070_at,0.5726035881960393,1.7728768891117277 (1.2955194744685923 - 2.426125215320085),3.5776589807136223,0.0003466853562529217,GPR56
214745_at,0.36660743753397596,1.4428314064716714 (1.1771730719580882 - 1.7684421408300277),3.531042372529222,0.00041392543341542133,PLCH1
213221_s_at,-0.36105189361959406,0.696942830642309 (0.5689675715084324 - 0.8537029762451328),-3.488017054936195,0.00048661703814366835,SIK2
222195_s_at,-0.42516336549646416,0.6536629904278486 (0.5146745547366477 - 0.8301854076965374),-3.485797855909544,0.0004906716329037761,C9orf156
205464_at,0.4861810201967749,1.6260943254855402 (1.2364137464273657 - 2.1385905511133925),3.4781593002453395,0.0005048697889125582,SCNN1B
208839_s_at,0.7467272660655243,2.110082963829628 (1.3844983638412232 - 3.2159302101960754),3.473173750022219,0.0005143422644149259,CAND1
210171_s_at,0.36442264337866714,1.439682557893241 (1.1717966407253109 - 1.7688102145600009),3.4692039398480183,0.0005220030417742456,CREM
214906_x_at,-1.0064273467542109,0.36552253488008773 (0.2066506296411516 - 0.6465343160926863),-3.4588235651368535,0.0005425401754622411,N4BP2L1
217980_s_at,-1.1777786288240903,0.30796207742762194 (0.15783475137699798 - 0.6008856750881427),-3.45348122743142,0.0005534008190885301,MRPL16
200708_at,0.667882395211873,1.9501033968817876 (1.3348565729853676 - 2.8489227498238296),3.4533595336506386,0.0005536505579122189,GOT2
218620_s_at,-0.36327638898035036,0.695394207639773 (0.5656872508159463 - 0.8548417934493711),-3.4490272015130388,0.0005626100239007751,HEMK1
217957_at,0.8022946775123022,2.230653691040954 (1.4120987905121662 - 3.523702394469094),3.4392130916898576,0.0005834078164347486,C16orf80
215065_at,0.526834796863667,1.6935633441608822 (1.2541042228326746 - 2.287016300931527),3.4371894118920823,0.0005877844042587045,PHF8
202837_at,-0.4778481785809607,0.6201163367778135 (0.47211926322578907 - 0.8145066323100397),-3.4347248716524756,0.0005931557108701277,TRAFD1
204267_x_at,0.8015906545524292,2.229083812307114 (1.407983231650385 - 3.5290297004924986),3.419630687641245,0.0006270620390774526,PKMYT1
202770_s_at,-0.5730458014823253,0.5638055809822256 (0.4058979929844539 - 0.7831443826796152),-3.4179037195110014,0.0006310542612188709,CCNG2
37577_at,-0.595585607776031,0.5512396610972903 (0.39152452540684474 - 0.7761076107579727),-3.4120226192359002,0.0006448276231732122,ARHGAP19
202859_x_at,0.2741565034760522,1.3154206540348707 (1.1237344442629456 - 1.5398046272368617),3.4116834918234034,0.0006456303136859704,CXCL8
216361_s_at,0.27399285386677774,1.315205403572114 (1.1236312806331394 - 1.5394420602197951),3.411202963746835,0.0006467692809694926,KAT6A
218468_s_at,0.4533700953955665,1.5736064632650446 (1.211916587831713 - 2.0432407032730318),3.402378361883579,0.0006680208454943096,GREM1
202962_at,-0.5938111653953713,0.5522186724565853 (0.3914136692026792 - 0.779087411103695),-3.3815196164038253,0.0007208608569854117,KIF13B
214857_at,-0.6892907794245265,0.5019319233090618 (0.33612207426490337 - 0.7495361802336709),-3.369123423627693,0.000754076541076532,RPARP-AS1
204826_at,0.6558700300429593,1.9268181780353164 (1.314509110953358 - 2.824345803518032),3.361555966279098,0.0007750464826434955,CCNF
210849_s_at,1.1751439645251747,3.2386091551074547 (1.630902621119408 - 6.4311560504738985),3.357441844563184,0.0007866729028172816,VPS41
203975_s_at,0.8067941078391857,2.2407129754611526 (1.398822611549342 - 3.5893004566454056),3.356135067253811,0.0007903995700284408,CHAF1A
205775_at,-0.52482498270362,0.5916589058478564 (0.4354156342342749 - 0.8039680556824772),-3.3546639682339583,0.0007946144522296922,FAM50B
205142_x_at,0.7986121561378424,2.222454367502663 (1.3931073633602 - 3.545529616409444),3.3511743379802637,0.0008046962488770372,ABCD1
201001_s_at,0.7516784032347984,2.1205561797916967 (1.3638871162395148 - 3.297016635842369),3.3381608545590016,0.000843349123461965,TMEM189 /// TMEM189-UBE2V1 /// UBE2V1 /// UBE2V2
208295_x_at,-0.3701878980679028,0.6906045551838541 (0.5555478095484067 - 0.8584943427792099),-3.334157037878274,0.0008555833871179497,CSHL1
207396_s_at,0.7196440576173827,2.0537020809197104 (1.3441887434218527 - 3.1377232236278982),3.327746016965304,0.0008755164679090144,ALG3
201890_at,0.4278909288828154,1.5340187547031565 (1.1922298123797828 - 1.9737918942689643),3.3271135204942186,0.0008775061781559932,RRM2
211422_at,-0.3142147489553257,0.7303621668047909 (0.6066659511034133 - 0.8792794349667732),-3.318830727438603,0.0009039520745519598,TRPM3
209559_at,0.5105993210662746,1.6662895381746805 (1.2294093992009205 - 2.2584184136179903),3.291253066823662,0.0009974214106214263,HIP1R
220177_s_at,-0.256839909063851,0.7734920329176762 (0.6632053619875681 - 0.9021186487306091),-3.2724094305314364,0.0010663503121762397,TMPRSS3
