gene,beta,HR (95% CI for HR),wald.test,p.value,Gene Symbol,HR,CI Lower,CI Upper
200760_s_at,-1.0982664082303544,0.3334486467537637 (0.2073140474379388 - 0.5363264158701129),-4.529287915205064,5.918280677256863e-06,ARL6IP5,0.3334486467537637,0.2073140474379388,0.5363264158701129
213082_s_at,-0.851301124231137,0.4268591736577127 (0.2918755591662348 - 0.624268625493134),-4.389378425908917,1.1367510671486954e-05,SLC35D2,0.4268591736577127,0.2918755591662348,0.624268625493134
219968_at,-0.8287852039260419,0.4365793191583337 (0.299043331370755 - 0.6373708487097002),-4.292992017643163,1.762813463470699e-05,ZNF589,0.4365793191583337,0.299043331370755,0.6373708487097002
203485_at,-0.43363001467316886,0.6481520178645003 (0.5305439637968242 - 0.7918307754467344),-4.2447750751264826,2.1881279556960842e-05,RTN1,0.6481520178645003,0.5305439637968242,0.7918307754467344
209368_at,-0.3164231206824867,0.7287510352884539 (0.6266487277702132 - 0.847489267749276),-4.1086073742242855,3.9805212959302274e-05,EPHX2,0.7287510352884539,0.6266487277702132,0.847489267749276
50400_at,-1.1716558258740346,0.30985345289467964 (0.17453490498922491 - 0.5500857394495541),-4.000878800892463,6.310767639227818e-05,PAOX,0.30985345289467964,0.17453490498922491,0.5500857394495541
204880_at,-0.6361963113595361,0.5293018995333667 (0.3839961435494207 - 0.7295919648046497),-3.8853819202776663,0.00010216914301881506,MGMT,0.5293018995333667,0.3839961435494207,0.7295919648046497
206752_s_at,-0.5984497097279319,0.5496631132825253 (0.4019528483446324 - 0.7516541787120111),-3.7477616182405322,0.00017841969999607464,DFFB,0.5496631132825253,0.4019528483446324,0.7516541787120111
213221_s_at,-0.36105189361959406,0.696942830642309 (0.5689675715084324 - 0.8537029762451328),-3.488017054936195,0.00048661703814366835,SIK2,0.696942830642309,0.5689675715084324,0.8537029762451328
222195_s_at,-0.42516336549646416,0.6536629904278486 (0.5146745547366477 - 0.8301854076965374),-3.485797855909544,0.0004906716329037761,C9orf156,0.6536629904278486,0.5146745547366477,0.8301854076965374
214906_x_at,-1.0064273467542109,0.36552253488008773 (0.2066506296411516 - 0.6465343160926863),-3.4588235651368535,0.0005425401754622411,N4BP2L1,0.36552253488008773,0.2066506296411516,0.6465343160926863
