gene,beta,HR (95% CI for HR),wald.test,p.value,Gene Symbol,HR,CI Lower,CI Upper
218727_at,1.1813459566883369,3.258757398748576 (1.8925275609433092 - 5.6112788014592585),4.260685054189623,2.0380125557829475e-05,SLC38A7,3.258757398748576,1.8925275609433092,5.6112788014592585
220106_at,0.3465357017381832,1.4141599808985064 (1.1991855575735415 - 1.6676722288262054),4.119017641734265,3.804910191083289e-05,NPC1L1,1.4141599808985064,1.1991855575735415,1.6676722288262054
208968_s_at,1.0198202692392258,2.7726963803483704 (1.6177176670447313 - 4.752278703638823),3.709718457217434,0.00020748985565657697,CIAPIN1,2.7726963803483704,1.6177176670447313,4.752278703638823
218883_s_at,0.5821679979817573,1.7899147588807647 (1.312566935830696 - 2.440862066993614),3.67856155994098,0.00023455308136701797,CENPU,1.7899147588807647,1.312566935830696,2.440862066993614
203162_s_at,0.8313688126884212,2.2964600134712922 (1.470553732468272 - 3.586219583163957),3.6556966853137145,0.00025648447114580316,KATNB1,2.2964600134712922,1.470553732468272,3.586219583163957
206797_at,0.288358442815804,1.334235465538716 (1.1407283367849863 - 1.5605681213447913),3.606910327736969,0.00030986468545864316,NAT2,1.334235465538716,1.1407283367849863,1.5605681213447913
212070_at,0.5726035881960393,1.7728768891117277 (1.2955194744685923 - 2.426125215320085),3.5776589807136223,0.0003466853562529217,GPR56,1.7728768891117277,1.2955194744685923,2.426125215320085
214745_at,0.36660743753397596,1.4428314064716714 (1.1771730719580882 - 1.7684421408300277),3.531042372529222,0.00041392543341542133,PLCH1,1.4428314064716714,1.1771730719580882,1.7684421408300277
205464_at,0.4861810201967749,1.6260943254855402 (1.2364137464273657 - 2.1385905511133925),3.4781593002453395,0.0005048697889125582,SCNN1B,1.6260943254855402,1.2364137464273657,2.1385905511133925
208839_s_at,0.7467272660655243,2.110082963829628 (1.3844983638412232 - 3.2159302101960754),3.473173750022219,0.0005143422644149259,CAND1,2.110082963829628,1.3844983638412232,3.2159302101960754
210171_s_at,0.36442264337866714,1.439682557893241 (1.1717966407253109 - 1.7688102145600009),3.4692039398480183,0.0005220030417742456,CREM,1.439682557893241,1.1717966407253109,1.7688102145600009
200708_at,0.667882395211873,1.9501033968817876 (1.3348565729853676 - 2.8489227498238296),3.4533595336506386,0.0005536505579122189,GOT2,1.9501033968817876,1.3348565729853676,2.8489227498238296
217957_at,0.8022946775123022,2.230653691040954 (1.4120987905121662 - 3.523702394469094),3.4392130916898576,0.0005834078164347486,C16orf80,2.230653691040954,1.4120987905121662,3.523702394469094
215065_at,0.526834796863667,1.6935633441608822 (1.2541042228326746 - 2.287016300931527),3.4371894118920823,0.0005877844042587045,PHF8,1.6935633441608822,1.2541042228326746,2.287016300931527
204267_x_at,0.8015906545524292,2.229083812307114 (1.407983231650385 - 3.5290297004924986),3.419630687641245,0.0006270620390774526,PKMYT1,2.229083812307114,1.407983231650385,3.5290297004924986
202859_x_at,0.2741565034760522,1.3154206540348707 (1.1237344442629456 - 1.5398046272368617),3.4116834918234034,0.0006456303136859704,CXCL8,1.3154206540348707,1.1237344442629456,1.5398046272368617
216361_s_at,0.27399285386677774,1.315205403572114 (1.1236312806331394 - 1.5394420602197951),3.411202963746835,0.0006467692809694926,KAT6A,1.315205403572114,1.1236312806331394,1.5394420602197951
218468_s_at,0.4533700953955665,1.5736064632650446 (1.211916587831713 - 2.0432407032730318),3.402378361883579,0.0006680208454943096,GREM1,1.5736064632650446,1.211916587831713,2.0432407032730318
204826_at,0.6558700300429593,1.9268181780353164 (1.314509110953358 - 2.824345803518032),3.361555966279098,0.0007750464826434955,CCNF,1.9268181780353164,1.314509110953358,2.824345803518032
